Country,Year,Food Types,Total Waste in Tons,Food Economic Loss (Million $),Avg Waste per Capita (Kg),Country Population (Million) (Not Accurate),Household Waste (%)
USA,2023,Grains & Cereals,9799.74,9998.61,130.16,157.64,38.6
Russia,2022,Fruits & Vegetables,14859.9,14172.89,80.6,1244.35,64.89
South Africa,2021,Bakery Items,17656.44,20511.6,50.98,771.51,51.62
UK,2022,Meat & Seafood,41283.64,42195.46,78.15,513.62,46.16
Saudi Arabia,2022,Frozen Food,33558.64,36201.96,44.06,1099.07,65.53
Germany,2020,Dairy Products,23151,22695.55,151.32,361.5,58.35
Germany,2021,Frozen Food,43395.8,42356.33,148.53,690.21,36.69
Turkey,2019,Meat & Seafood,35461.44,32536.66,93,78.77,67.73
Germany,2021,Frozen Food,5170.06,5685.82,52.39,483.54,63.67
China,2020,Grains & Cereals,47836.43,53056.61,128.64,637.38,42.45
Australia,2024,Beverages,19597.5,21349.34,135.19,647.32,33.33
Australia,2020,Prepared Food,47574.43,39243.81,113.13,631.25,60.81
USA,2022,Grains & Cereals,11479.76,12719.36,144.51,454.91,34.01
Spain,2020,Prepared Food,23830.2,25819.12,139.08,302,46.41
India,2020,Prepared Food,33229,36468.28,199.01,824.94,38.95
France,2020,Meat & Seafood,11243.38,12223.77,193.06,18.98,68.11
Argentina,2018,Meat & Seafood,34590.56,29375.24,193.51,176.71,37.7
China,2024,Frozen Food,6522.86,5334.03,164.16,576.36,59.15
Australia,2024,Grains & Cereals,6128.27,5386.6,87.95,250.02,60.31
Argentina,2019,Meat & Seafood,33662.64,38715.68,38.22,1199.1,31.2
Russia,2023,Dairy Products,31553.31,27883.34,92.26,1356.17,47.73
India,2022,Frozen Food,38352.58,36719.57,55.06,1118.04,52.91
Germany,2019,Fruits & Vegetables,4730.21,5486.39,89.77,11.29,51.19
Russia,2024,Dairy Products,3771.8,3221.32,42.31,1374.53,38.63
Turkey,2020,Beverages,16449.71,13204.62,70.6,397,61.27
Brazil,2020,Grains & Cereals,45537.84,44766.55,145.38,489.37,60.45
Saudi Arabia,2024,Bakery Items,40280.76,45344.83,141.42,607.47,54.25
South Africa,2021,Grains & Cereals,6385.32,5824.93,22.85,697.78,45.24
Canada,2019,Beverages,40586.76,47867.15,179.54,795.6,53.2
USA,2021,Dairy Products,28582.65,23208.72,96.05,328.26,53.38
Indonesia,2018,Meat & Seafood,12401.47,11448.82,100.24,321.57,42.82
Argentina,2020,Dairy Products,1401.62,1256.84,60.51,1232.33,52.94
Indonesia,2020,Meat & Seafood,30545.07,25240.14,174.74,1191.15,37.38
China,2023,Grains & Cereals,38744.41,31808.42,123.07,603,31.41
UK,2022,Fruits & Vegetables,8352.25,7851.65,50.15,1108.56,37.32
Saudi Arabia,2018,Dairy Products,29588.57,30075.64,149.51,1182.92,56.98
South Africa,2019,Prepared Food,20653.43,18253.02,103.72,450.44,47.33
India,2020,Fruits & Vegetables,32652.96,35165.55,134.06,23.49,44.39
Mexico,2019,Dairy Products,13538.96,12305.63,185.53,1073.95,43.13
Indonesia,2019,Meat & Seafood,3613.99,3087.86,136.53,349.48,57.7
Brazil,2020,Grains & Cereals,22568.08,22703.7,124.49,825.9,51.16
Japan,2018,Meat & Seafood,43768.06,45522.98,53.65,1138.12,33.89
Turkey,2018,Prepared Food,9006.3,8000.91,172.54,1054.61,59.88
France,2020,Frozen Food,45559.31,47508.31,137.62,364.73,36.01
Indonesia,2022,Frozen Food,20372.16,21673.06,141.76,758.88,56.79
Brazil,2022,Prepared Food,18814.31,16286.36,89.87,1387.49,35.71
Brazil,2023,Beverages,25255.87,29351.15,160.37,643.73,36.61
Japan,2022,Frozen Food,24800.87,28942.48,94.71,1060.06,68.3
Indonesia,2018,Dairy Products,24220.54,20618.9,93.73,251.86,46.95
Japan,2024,Beverages,7290.09,6996.1,131.23,502.55,56.59
Japan,2018,Bakery Items,27534.23,29110.52,162.58,693.46,69.77
Italy,2021,Bakery Items,4405.63,4759.81,116.46,73.64,47.77
Australia,2023,Meat & Seafood,19342.06,19006.54,175.68,985.03,66.09
South Korea,2023,Prepared Food,4171.2,3903.89,130.46,1045.87,32.58
India,2019,Bakery Items,23728.91,23191.39,30.35,1145,59.57
Canada,2023,Bakery Items,34600.63,33104.38,185.05,478.41,61.26
Japan,2023,Beverages,18902.4,18747.79,100.82,369.03,45.41
Australia,2023,Dairy Products,17597.05,17582.88,164.06,222.8,59.52
Mexico,2022,Meat & Seafood,35852.3,41996.52,167.88,1307.15,55.63
France,2018,Bakery Items,38755.01,39812.52,58.81,895.89,44.77
Australia,2020,Frozen Food,8307.99,6650.19,149.59,221.14,50.21
Russia,2021,Dairy Products,41548.85,34033.34,106.19,564.04,41.91
South Korea,2024,Dairy Products,48474.74,43605.18,39.27,840.18,65.97
Mexico,2021,Fruits & Vegetables,28916.69,32196.55,134.55,950.8,31.46
USA,2019,Prepared Food,31980.71,35434.66,132.11,355.18,35.31
Italy,2018,Beverages,29922.27,35494.18,53.99,1138.65,51.15
Germany,2020,Fruits & Vegetables,38681.87,33973.5,27.75,1054.51,64.91
South Korea,2019,Beverages,17963.27,20605.61,22.52,315.39,39.22
Australia,2022,Grains & Cereals,16867.64,19167.49,157.32,1287.85,44.16
Turkey,2018,Dairy Products,21928.77,25233.25,150.64,1101.44,56.04
South Korea,2021,Frozen Food,40857.91,46463.12,44.34,602.65,61.24
Brazil,2023,Dairy Products,28810.62,34553.6,129.68,856.13,50.22
Germany,2019,Fruits & Vegetables,17230.55,19353.55,177.45,224.07,64.09
South Africa,2018,Beverages,38851.37,34204.69,149.05,219.4,41.67
Japan,2018,Bakery Items,23843.3,20013.4,114.45,1259.89,69.22
Japan,2018,Frozen Food,17775.87,14626.15,192.6,498.22,36.2
France,2020,Meat & Seafood,39332.55,43838.89,160.59,676.21,57.25
Brazil,2022,Frozen Food,37794.81,31849.6,48.76,76.6,38.69
Spain,2023,Grains & Cereals,32843.06,27504.95,143.86,491.46,54.56
Saudi Arabia,2020,Beverages,14284.62,13705.76,80.43,493.89,47.7
Brazil,2024,Bakery Items,31449.81,34344.23,119.49,1207.32,46.1
Italy,2021,Grains & Cereals,14721.03,15984.7,177.51,481.19,40.59
China,2020,Grains & Cereals,17673.4,21146.85,194.93,1373.6,42.92
Germany,2019,Grains & Cereals,42043.14,36734.88,66.68,1383.97,61.51
UK,2021,Fruits & Vegetables,35106.61,41960.33,100.15,163.09,33.7
Indonesia,2023,Meat & Seafood,22413.83,18004.61,53.68,891.19,39.61
Canada,2023,Beverages,20235.81,16744.08,108.17,94.52,54.46
Indonesia,2021,Fruits & Vegetables,43600.25,51461.96,97.81,508.93,53.94
Turkey,2019,Bakery Items,45483.34,42243.95,160.54,1053.42,34.04
Mexico,2024,Frozen Food,12488.76,13219.64,27.03,710.49,54.35
Saudi Arabia,2021,Prepared Food,25919.77,26176.34,43.74,441.37,60.04
Turkey,2018,Bakery Items,38623.78,38544.07,166.34,652,33.3
China,2021,Fruits & Vegetables,44733.13,45485.4,128.31,1014.79,58.6
USA,2021,Meat & Seafood,48731.01,51453.67,127.89,1282.07,55.97
Germany,2019,Grains & Cereals,8253.32,8452.47,43.85,167.21,59.63
Turkey,2024,Prepared Food,41099.29,43634.85,148.06,1054.79,59.01
Italy,2020,Meat & Seafood,25528.24,26821.15,62.02,157.03,40.79
Brazil,2021,Fruits & Vegetables,41094.84,38219.46,79.03,1211.31,37.36
China,2018,Fruits & Vegetables,44135.77,44014.24,170.31,190.75,62.35
France,2020,Bakery Items,2748.15,2227.25,138.93,784.79,36.65
Italy,2018,Grains & Cereals,19031.96,17002.43,174.25,1060.89,49.71
Canada,2023,Meat & Seafood,38683.68,46155.58,103.97,785.29,54.22
Japan,2021,Dairy Products,36669.2,31771.48,142.11,354.57,56.63
Brazil,2022,Prepared Food,12289.15,13239.72,137.34,1037.97,60.7
India,2024,Dairy Products,9720.84,10304.87,40.11,116.33,53.31
Argentina,2023,Frozen Food,41009.81,44634.39,98.55,706.53,65.8
China,2021,Frozen Food,1650.24,1546.86,47.2,442.62,62.1
China,2023,Fruits & Vegetables,13158.48,14397.43,43.99,1323.82,50.27
USA,2022,Fruits & Vegetables,23481.71,19223.31,73.28,828.05,60.52
Turkey,2021,Frozen Food,14619.47,14294.85,77.72,751.85,34.39
Argentina,2018,Frozen Food,19119.94,22634.44,136.85,1050.84,68.84
France,2021,Bakery Items,35575.75,32976.58,140.53,587.53,45.29
USA,2018,Fruits & Vegetables,34170.59,34859.68,94.39,777.03,41.6
Germany,2018,Bakery Items,49511.53,40027.8,150.17,552.21,67.31
Mexico,2022,Dairy Products,43147.54,35382.31,43.19,843.07,44.77
Italy,2019,Prepared Food,13160.74,15727.17,149.73,211.06,63.14
India,2022,Grains & Cereals,5759.15,6427.88,168.77,1394.2,37.22
Spain,2019,Grains & Cereals,12625.72,11788.01,175.12,1009.26,40.52
France,2020,Dairy Products,15521.69,13453.46,46.46,314.37,39.49
UK,2019,Dairy Products,11084.93,12598.47,25.04,1345.63,52.43
Saudi Arabia,2019,Bakery Items,15583.63,13255.85,46.61,973.05,41.62
South Africa,2023,Bakery Items,9508.41,10582.75,20.66,48.13,40.75
Indonesia,2021,Fruits & Vegetables,39348.87,34608.37,130.96,283.67,59.29
Italy,2024,Beverages,24121.2,28455.91,23.33,710.14,32.32
India,2022,Fruits & Vegetables,4710.18,5007.17,121.85,315.22,32.35
Turkey,2018,Fruits & Vegetables,21411.4,21402.77,151.44,539.4,50.87
South Africa,2019,Prepared Food,14892.8,15282.22,80.87,1310.11,48.52
Turkey,2020,Bakery Items,39525.76,40409.95,47.56,1032.09,58.84
Mexico,2019,Bakery Items,42335.87,38012.23,133.31,81.11,56.83
Italy,2021,Meat & Seafood,41616.06,45467.27,198.75,971.5,69.96
Germany,2020,Beverages,42992.46,47767.22,48.44,592.58,58.25
Spain,2021,Bakery Items,2991.83,2960.43,53.02,146.92,60.27
Japan,2022,Prepared Food,34343.36,37433.1,137.02,467.65,32.24
Spain,2023,Prepared Food,45324.58,48623.38,83.97,167.59,62.21
Turkey,2023,Prepared Food,26357.4,31374.01,110.76,189.93,35.75
Germany,2022,Dairy Products,15916.02,14934.3,135.53,733.39,51.45
Canada,2018,Meat & Seafood,31339.96,37294.58,181.56,604.77,57.43
South Africa,2023,Meat & Seafood,37116.04,32648.86,177.79,374.43,31.2
China,2018,Fruits & Vegetables,36259.77,37544.62,55.69,1023.87,56.3
Italy,2022,Grains & Cereals,14919.1,17084.2,132.51,803.19,36.11
South Korea,2020,Beverages,42030.89,45789.18,63.52,585.27,60.06
Indonesia,2020,Grains & Cereals,30761.09,24828.6,79.05,576.35,60.97
Turkey,2021,Bakery Items,13002.52,15565.35,58.26,982.98,38.01
Saudi Arabia,2019,Prepared Food,15490.93,12642.13,159.05,375.62,66.65
South Africa,2023,Beverages,17821.64,16109.76,24.35,66.18,68.81
USA,2018,Dairy Products,883.58,732.83,125.68,376.86,47.51
Italy,2022,Grains & Cereals,28088.1,24215.09,76.32,729.94,54.91
Germany,2024,Frozen Food,24366.95,23847.84,29.73,1298.63,42.29
Russia,2022,Prepared Food,48638.45,41147.2,165.93,112.72,33.42
Mexico,2024,Dairy Products,25626.17,20892.25,168.75,850.52,43.5
South Africa,2021,Bakery Items,31434.87,37218.26,83.98,883.02,50.73
Japan,2018,Prepared Food,3875.26,4171.74,111.03,984.53,63.24
Spain,2019,Bakery Items,17731.47,19809.54,102.18,1019.24,41.73
Japan,2023,Grains & Cereals,2267.05,2347.17,146.55,129.91,35.9
Canada,2022,Beverages,27384.23,27460.01,166.87,1125.17,32.88
France,2022,Frozen Food,37658.84,44908.91,161.7,1057.61,61.06
South Korea,2018,Frozen Food,23944.71,20221.28,92.54,1107.64,59.08
UK,2023,Fruits & Vegetables,14270.47,16875.48,131.8,672.26,45.11
South Korea,2024,Bakery Items,10750.06,11143.47,194.86,539.34,42.15
Italy,2021,Grains & Cereals,25760.32,24901.13,65.31,431.85,34.51
France,2023,Meat & Seafood,31881.43,36280.05,188.46,587.85,60.03
South Korea,2018,Prepared Food,24351.4,26008.75,74.06,350,69.49
Spain,2023,Frozen Food,24170.61,24194.62,35.97,487.76,53.64
India,2019,Meat & Seafood,20186.78,23092.05,74.13,457.32,57.42
Spain,2020,Fruits & Vegetables,33030.51,30017,169.29,1212.13,68.41
France,2024,Grains & Cereals,46890.11,50991.35,101.17,970.27,69.48
Germany,2022,Meat & Seafood,41004.31,46604.29,25.18,647.17,54.86
Mexico,2021,Prepared Food,30750.8,33432.3,137.34,230.4,34.81
China,2021,Frozen Food,30637.42,25279.55,174.6,1027.22,66.37
Mexico,2022,Grains & Cereals,34149.18,38842.47,101.9,942.49,35.92
Indonesia,2022,Meat & Seafood,46815.5,42424.43,118.25,1051.34,31.52
China,2021,Prepared Food,12513.65,10732.01,89.82,1376.59,30.84
Australia,2023,Grains & Cereals,41819.44,36925.57,196.26,813.71,67.98
South Korea,2023,Prepared Food,49107.7,50025.56,115.42,233.71,57.95
Turkey,2023,Grains & Cereals,42525.41,43267.76,95.59,1200.86,34.98
India,2023,Bakery Items,11040.53,11278.52,83.92,172.33,64.77
Spain,2021,Grains & Cereals,44081.72,44429.64,107.15,349.13,64.64
Mexico,2023,Prepared Food,35076.45,35115.4,56.36,377.48,31.52
Italy,2022,Prepared Food,20946.36,17515.05,161.73,517.33,62.44
Turkey,2024,Dairy Products,41633.95,38231.15,168.63,563.08,65.24
Russia,2021,Beverages,42467.04,34601.29,38.39,1389.49,37.71
Saudi Arabia,2019,Beverages,30419.87,36046.03,27.9,1363.88,46.26
Saudi Arabia,2020,Bakery Items,28809.15,23817.33,114.87,189.05,59.88
Italy,2019,Bakery Items,20245.33,22805.62,167.95,635.18,33.06
Australia,2023,Meat & Seafood,22703.51,24955.67,66.84,1357.71,49.76
Italy,2023,Dairy Products,13326.03,11474.94,139.32,1018.74,43.19
UK,2019,Beverages,45581.29,37684.56,29.71,394.29,61.63
Spain,2023,Meat & Seafood,19686,21084.15,36.77,1092.68,35.82
South Korea,2021,Fruits & Vegetables,41191.76,47097.13,40.08,550.15,67.44
Mexico,2021,Dairy Products,1532.37,1367.1,57.91,1060.66,67.3
UK,2022,Dairy Products,31688.19,25866.5,26.21,266.91,64.94
UK,2024,Bakery Items,32539.06,36744,159.49,52.6,33.8
South Africa,2022,Prepared Food,20894.32,20180.47,109.99,624.72,39.49
Australia,2023,Frozen Food,18746.74,17600.48,66.86,832.71,57.07
Mexico,2023,Grains & Cereals,44680.27,53062.49,140.02,904.94,61.57
China,2020,Grains & Cereals,4100.72,3967.38,161.82,735.45,50.56
Russia,2020,Meat & Seafood,10163.57,8929.28,44.65,667.06,58.97
UK,2020,Fruits & Vegetables,3193.99,3543.2,146.15,1089.03,43.5
Saudi Arabia,2022,Dairy Products,13520.49,12198.85,168.69,1060.38,46.82
Japan,2022,Beverages,46515.03,45618.46,100.96,335.06,54.33
Canada,2024,Dairy Products,39004.36,44355.91,58.31,896.32,38.52
Brazil,2023,Meat & Seafood,38139.33,41925,58.97,1053.52,59.51
Turkey,2022,Bakery Items,37878.43,45092.53,32.95,245.46,45.18
Argentina,2021,Meat & Seafood,49387.02,46708.71,129.97,774.46,43.94
South Korea,2019,Dairy Products,14842.05,15528.45,171.78,1382.56,46.64
UK,2020,Bakery Items,31713.3,27576.98,187.98,132.67,46.88
Brazil,2022,Fruits & Vegetables,2042.26,2256.48,78.13,212.94,43.55
Germany,2020,Meat & Seafood,20302.83,20726.29,159.93,839.95,49.56
Brazil,2021,Dairy Products,2712.29,2735.91,185.47,228.39,66.79
Indonesia,2021,Beverages,39887.41,35684.56,126.56,992.7,53.11
Germany,2021,Dairy Products,28451.49,34008.33,179.67,1075.42,30.52
USA,2024,Frozen Food,7125.82,6079.02,165.78,684.89,32.08
Italy,2020,Meat & Seafood,42110.44,39772.84,162.4,674.12,50.56
Australia,2021,Grains & Cereals,23064.47,21332.4,168.07,642.95,50.13
France,2024,Fruits & Vegetables,32948.34,27988.9,58.41,925.96,36.92
Japan,2021,Grains & Cereals,29944.88,34923.52,28.65,260.73,42.21
Italy,2019,Dairy Products,38709.38,38601.9,163.77,740.53,49
Australia,2018,Bakery Items,15382.11,14887.14,172.81,763.91,62.85
Argentina,2024,Grains & Cereals,16270.95,16900.74,144.49,846.88,47.01
Australia,2022,Meat & Seafood,8997.95,8132.68,165.36,585.42,54.71
Mexico,2019,Bakery Items,36423.94,37742.7,70.96,183.99,62.79
India,2021,Fruits & Vegetables,34844.76,28235.33,190.53,1239.91,51.37
Indonesia,2020,Frozen Food,37903.21,39273.22,155.96,1215.47,59.45
Spain,2022,Dairy Products,44003.89,35541.28,93.26,1175.91,31.42
South Africa,2020,Grains & Cereals,14912.46,12840.38,34.05,160.05,53.64
Canada,2023,Beverages,5164.03,5766.99,189.15,1245.91,51.75
Italy,2020,Meat & Seafood,31602.42,25537.29,134.31,473.71,60.73
USA,2021,Frozen Food,37875.46,45347.88,143.31,725.96,44.54
Argentina,2023,Meat & Seafood,41910.99,47436.94,89.8,324.8,67.44
France,2021,Beverages,40449.32,47696.47,197.31,168.32,43.1
France,2020,Meat & Seafood,42442.57,45788.95,188.32,142.91,32.35
Russia,2022,Prepared Food,19047.02,16267.32,170.58,272.33,32.49
China,2018,Grains & Cereals,47749.55,39099.53,188.54,359.58,43.16
Canada,2018,Bakery Items,49341.91,52775.19,106.29,906.36,58.87
Indonesia,2020,Frozen Food,44590.66,45630.59,166.39,908.86,40.15
Canada,2019,Prepared Food,31133.27,28268.89,23.93,457.91,40.46
Japan,2021,Grains & Cereals,7225.77,7393.73,105.58,1247.06,32.27
Japan,2024,Frozen Food,2886.99,3327,147.87,13.72,65.87
France,2020,Beverages,12396.63,11857.8,135.95,820.55,30.09
Italy,2023,Meat & Seafood,28316.47,30769.01,178.99,518.97,62.13
USA,2024,Grains & Cereals,34832.33,32198.66,198.47,1366.62,31.53
USA,2020,Dairy Products,2394.57,2590.56,183.97,1231.32,52.7
South Africa,2019,Beverages,12613.45,10764.24,101.54,391.98,63.16
Spain,2021,Dairy Products,7913.03,8075.1,152.35,177.73,60.35
Russia,2023,Frozen Food,32703.24,32320.61,73.56,1392.18,31.6
Mexico,2018,Beverages,34292.47,33457.33,148.49,158.13,67.48
China,2019,Bakery Items,26061.19,29622.9,191.51,418.61,49.9
Russia,2024,Fruits & Vegetables,23569.68,27289.4,199.15,1095.32,58.4
Canada,2020,Meat & Seafood,5978.9,5833.47,41.22,937.24,61.55
China,2018,Meat & Seafood,30127.25,28702.33,133.83,1256.67,41.92
India,2019,Meat & Seafood,37711.58,44058.28,76.61,1261.04,62.43
USA,2021,Meat & Seafood,24498.79,28438.43,52.33,45.91,62.65
USA,2020,Bakery Items,26718.55,30067.32,117,371.31,43.57
Japan,2022,Grains & Cereals,3719.16,3803.6,61.05,882.69,50.28
Japan,2020,Frozen Food,12302.84,11330.03,64.8,889.93,41.99
Germany,2022,Grains & Cereals,5457.06,5389.62,147.7,667.61,41.52
Canada,2019,Beverages,40705.2,40258.76,60.06,1009.32,62.85
Spain,2022,Frozen Food,21309.4,17977.6,161.31,811.37,55.74
Mexico,2020,Prepared Food,28455.74,28701.79,64.52,1270.2,56.37
South Korea,2019,Beverages,562.22,627.72,122.17,462.18,61.5
South Africa,2022,Beverages,29919.89,25147.81,32.57,1017.44,54.87
Spain,2021,Grains & Cereals,40334.35,38795.4,50.85,985.08,63.02
Germany,2020,Bakery Items,21625.02,23407.4,143.29,1267.24,41.42
Turkey,2021,Bakery Items,30450.77,30812.12,21.46,87.15,65.55
UK,2023,Bakery Items,8619.86,9439.1,74.56,1106.7,45.19
Mexico,2018,Prepared Food,24221.08,24937.45,144.93,814.89,45.39
South Africa,2018,Fruits & Vegetables,42649.16,45762.45,78.08,222.74,46.48
France,2024,Grains & Cereals,22354.93,18257.96,27.61,690.29,46.97
Germany,2022,Bakery Items,18850.26,18542.54,167.04,946.56,67.68
USA,2021,Grains & Cereals,2047.11,2369.73,72.27,35.05,62.62
Spain,2023,Bakery Items,30417.22,28835.35,25.72,680.5,61.9
USA,2022,Frozen Food,11890.66,13680.35,178.86,381.88,52.96
Brazil,2022,Fruits & Vegetables,41759.37,35161.45,92.07,1097.09,42.12
Turkey,2022,Meat & Seafood,29113.22,27117.15,21.72,725.76,46.3
Canada,2023,Prepared Food,16069.8,16316.85,42.72,1354.29,54.06
Brazil,2023,Prepared Food,19085.74,21107.47,168.14,872.11,62.02
Mexico,2023,Beverages,45330.2,45565.69,135.78,854.62,39.71
Germany,2019,Fruits & Vegetables,24914.11,29706.21,32.57,1267.52,43.3
Indonesia,2019,Meat & Seafood,6272.68,5946.07,165.54,148.68,40.57
Brazil,2022,Fruits & Vegetables,43846.87,44810.33,67.92,167.79,40.76
Turkey,2021,Beverages,13864.8,15565.97,47.7,909.74,45.46
Saudi Arabia,2023,Prepared Food,35127.95,38873.69,186.21,877.4,51.37
South Africa,2023,Beverages,13534.93,12427.64,148.55,1189.8,54.12
South Korea,2022,Beverages,14779.69,12125.54,183.18,830.63,50.83
Germany,2021,Bakery Items,12746.19,12488.54,119.42,553.49,58.65
Spain,2020,Frozen Food,15449.15,12990.26,123.5,42.67,39.52
Japan,2024,Meat & Seafood,37100.54,35853.13,144.38,321.21,40.1
China,2019,Bakery Items,35356.04,37868.53,76.96,458.31,56.26
Mexico,2024,Meat & Seafood,12930,13350.78,172.99,86.63,52.4
Canada,2024,Bakery Items,13512.16,15702.23,168.7,406.53,37.2
UK,2022,Meat & Seafood,10642.53,9247.43,73.8,1201.16,52.48
Russia,2019,Prepared Food,34493.48,36121.71,196.8,118.39,65.71
Spain,2020,Bakery Items,11092.49,10035,150.02,1215.76,55.88
South Korea,2024,Frozen Food,13338.14,12307.87,112.42,450.02,43.32
Canada,2020,Frozen Food,25111.5,28295.66,190.76,1022.31,58.01
Australia,2023,Grains & Cereals,1434.79,1521.97,98.79,1150.57,61.54
Australia,2024,Bakery Items,17941.25,14499.25,165.11,492.54,32.91
Japan,2022,Meat & Seafood,48372.88,48305,177.17,1289.27,35.56
USA,2024,Dairy Products,9666.4,9795.89,192.07,300.96,62.59
China,2021,Prepared Food,10461.91,12442.68,39.16,874.9,33.03
Mexico,2022,Prepared Food,24836.07,23121.8,68.62,1310.94,50.31
Brazil,2019,Prepared Food,13807.04,11632.83,23.49,654.05,54.44
Brazil,2022,Prepared Food,49395.14,40327.45,100.35,1122.91,41.63
India,2018,Beverages,20942.04,18650.07,124.24,128.07,48.63
UK,2019,Meat & Seafood,10367.07,11883.66,128.73,462.9,53.3
Germany,2023,Dairy Products,39760.39,38052.74,70.24,841.5,41.85
Germany,2024,Prepared Food,47659.16,56031.37,89.22,1024.82,62.61
Saudi Arabia,2022,Beverages,14009.07,12256.59,145.34,1284.28,50.62
Saudi Arabia,2019,Meat & Seafood,43154.38,37000.11,175.09,1097.35,30.54
Indonesia,2023,Grains & Cereals,21517.15,25165.97,61.64,511.25,30.58
Australia,2019,Dairy Products,15479.16,16007.31,34.64,221.5,31.2
France,2018,Dairy Products,7634.8,6920.6,152.62,819.72,69.38
France,2018,Beverages,3715.38,4207.47,146.4,1024.27,65.04
Canada,2022,Grains & Cereals,44914.43,37679.79,167.65,907.89,59.33
Turkey,2023,Bakery Items,48952.68,45037.44,127.04,485.67,62.91
Argentina,2023,Grains & Cereals,18528.17,15310.1,39.67,585.84,33.51
USA,2021,Grains & Cereals,6924.7,6480.12,81.49,812.17,57.4
Indonesia,2018,Bakery Items,16533,13724.03,79.02,1017.5,54.83
Indonesia,2023,Dairy Products,42686.47,35909.27,131.08,932.12,39.68
Canada,2018,Meat & Seafood,12735.64,14984.8,119.17,970.84,54.49
Australia,2019,Dairy Products,46106.35,45513.19,80.87,231.28,33.14
Japan,2024,Dairy Products,35892.2,36287.72,154.65,183.52,30.62
Russia,2023,Fruits & Vegetables,6482.29,6869.84,30.16,291.71,54.49
China,2020,Dairy Products,21627.6,24587.61,118.9,1069.58,58.52
Italy,2023,Beverages,20092.05,18645.74,24.02,317.2,64.09
Australia,2022,Dairy Products,48373.39,50449.34,58.89,1328.37,33.97
Mexico,2024,Grains & Cereals,17324.62,20112.65,140,243.99,31.13
South Africa,2019,Beverages,28539.63,27498.23,113.87,572.35,58.52
Japan,2019,Dairy Products,20167.01,18982.01,61.78,651.99,63.3
Mexico,2022,Beverages,16309.24,13445.9,54.53,286.48,56.3
Germany,2019,Prepared Food,39516.23,43657.2,83.82,241.94,42.42
Brazil,2023,Bakery Items,6367.24,5602.06,136.13,857.6,58.67
Spain,2020,Dairy Products,17786.74,19470.9,128.44,957.51,45.88
Mexico,2023,Meat & Seafood,26861.08,23432.21,107.89,853.88,55.24
China,2020,Prepared Food,3236.77,3128.03,28.91,846.7,50.11
China,2020,Beverages,46073,42721.58,142.01,582.05,55.67
South Korea,2018,Fruits & Vegetables,24411.49,22266.81,188.9,715.16,55.23
France,2024,Dairy Products,11016.36,10330.11,199.71,1212.3,57.56
Turkey,2018,Frozen Food,18824.66,16221.22,121.56,1190.79,51.6
UK,2024,Grains & Cereals,30251.98,30485.18,155.22,673.12,33.25
Japan,2021,Grains & Cereals,28188.81,25430.05,158.6,334.9,53.62
India,2018,Beverages,28017.92,33552.64,132.71,226.82,56.25
Canada,2022,Meat & Seafood,47128.3,42676.68,74.29,783.58,32.16
China,2023,Dairy Products,29274.27,32530.11,131.41,472.82,52.1
Argentina,2021,Bakery Items,10846.69,11717.08,197.88,122.85,37.11
Spain,2023,Grains & Cereals,20059.23,20402.65,86.38,691.1,48.02
Brazil,2018,Bakery Items,23891.65,20701.81,99.24,1111.73,58.82
Indonesia,2022,Meat & Seafood,15955.86,15880.58,41.11,1178.63,62.6
Argentina,2022,Frozen Food,44822.55,49895.35,197.44,147.11,58.43
Turkey,2019,Prepared Food,4850.3,4607.66,39.08,1303.56,59.11
Canada,2020,Beverages,12696.71,11643.15,112.93,1114.59,64.18
Canada,2024,Bakery Items,44657.28,35786.01,61.37,532.43,67.86
Germany,2018,Prepared Food,33073.05,27678.55,26.72,442.73,38.23
Russia,2024,Fruits & Vegetables,6638.89,7472.43,190.81,859.16,46.5
Turkey,2019,Prepared Food,29636.36,24638.24,102.09,576.06,45.68
China,2022,Beverages,3118.62,2909.39,53.67,718.13,69.49
France,2019,Fruits & Vegetables,22247.62,20257.28,174.26,816.6,49.44
India,2024,Frozen Food,21206.07,22699.83,122.95,828.48,66.38
Australia,2019,Beverages,1160.27,1158.34,162.82,862.09,31.66
Mexico,2018,Beverages,20437.01,18175.82,141.35,1218.82,48.58
India,2023,Prepared Food,26977.56,24530.02,193.92,341.15,68.48
USA,2022,Prepared Food,25659.44,27457.72,59.04,560.91,58.83
South Korea,2022,Meat & Seafood,30588.9,31101.57,21.56,964.88,57.23
USA,2022,Dairy Products,42054.56,40586.17,164.65,677.49,53.46
India,2019,Fruits & Vegetables,20333.88,19202.66,29.37,694.96,67.92
Brazil,2018,Prepared Food,3695.8,3320.68,167.39,385.12,44.05
South Korea,2024,Fruits & Vegetables,5443.2,6472.66,91.07,781.44,61.41
Mexico,2024,Frozen Food,27555.01,32211.96,198.85,879.18,58.24
France,2023,Dairy Products,17163.86,15214.37,93.25,795.91,37.65
Mexico,2018,Frozen Food,20127.91,23658.57,23.63,1318.56,33.81
South Korea,2019,Prepared Food,33616.77,37461.32,96.66,793.41,67.61
Spain,2021,Grains & Cereals,24828.02,28575.73,127.59,84.87,54.24
China,2018,Fruits & Vegetables,39189.88,31790.93,130.79,81.49,55.08
Australia,2019,Frozen Food,18656.62,18849.19,124.85,851.83,33.19
Argentina,2020,Prepared Food,41121.47,43606.7,79.56,644.19,49.93
Australia,2023,Dairy Products,37510.62,39567.06,163.64,483.55,62.31
